Tweet
.@MichaelNutter got a lot of great points into 140 characters here. We have to keep the momentum. https://t.co/Bd66lBPMEs
Scrolling through images of the #womensmarch is awe-inspiring. Hope it brought joy to others as it did to me.
"https://t.co/29oaMvk3hU"""
"I stand w/ Nora Harren, a 17-year  from Boise, ID, & every person marching for our values today. Onward! ????????? https://t.co/Zt8THPtAn8"
'Hope Not Fear'
Indeed. 
And what a beautiful piece by Louisa Cannell. 
"#womensmarch ??????????????? https://t.co/7h3Bzx79nB"""
"Thanks for standing, speaking & marching for our values @womensmarch. Important as ever. I truly believe we're always Stronger Together."
I'm here today to honor our democracy & its enduring values. I will never stop believing in our country & its future. #Inauguration
"Indeed. Bill & I have you in our thoughts & look forward to you both being back on your feet soon, wild socks & all? https://t.co/yUWSbJDnlH"
Delighted that @NYGovCuomo proposed free college for ppl making &lt;125K in NY. A plan @SenSanders & I worked hard on. https://t.co/V0aXjhxKpm
The holidays are a time to be thankful for our blessings. Let's rejoice in this season & look forward with renewed hope & determination. -H
